2019-04-17 03:45:17.247060|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.253057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.260053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.267059|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.274057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.281057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.288057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.295055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.302056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.309052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.316054|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.322052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.329054|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.337055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.343052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.352057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.358052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.365055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.374056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.381053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.390054|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.399055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.408054|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.416054|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.423055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.430058|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.437052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.443056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.450058|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.456057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.463056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.470062|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.477053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.484056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.490054|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.497057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.506086|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.516053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.524057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.530056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.538057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.546058|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.554053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.562060|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.571054|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.578057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.587052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.594053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.603053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.610052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.618074|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.626053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.635055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.644055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.654055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.661055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.668052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.674054|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.681055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.688053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.694053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.702057|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.708051|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.717056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.723052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.731056|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.737053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.743053|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.751055|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.757052|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 03:45:17.764063|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 04:20:32.343367|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 04:28:14.573647|WARNING |PktHandler    |   |detected incorrectly running system clock (<)
2019-04-17 04:28:14.581648|WARNING |PktHandler    |   |detected incorrectly running system clock (<)
2019-04-17 04:28:14.589650|WARNING |PktHandler    |   |detected incorrectly running system clock (<)
2019-04-17 04:28:14.633646|WARNING |PktHandler    |   |detected incorrectly running system clock (<)
2019-04-17 05:06:30.652286|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 05:06:30.663282|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 05:06:30.674285|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 05:06:30.688304|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 05:06:30.699299|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
2019-04-17 05:06:30.712284|ERROR   |UDPServers    |   |An existing connection was forcibly closed by the remote host
